"YEAR","MONTH","DAY","TMAX","TMIN","TOBS","PRCP","SX32","SN32","SX33","SN33","SX35","SN35"
"2017","1","1","56","40","42","0","48","43","48","45","49","47"
"2017","1","2","49","41","41","0","47","44","47","45","49","48"
"2017","1","3","51","40","46","0.67","47","43","47","45","49","48"
"2017","1","4","51","44","51","1.05","49","45","48","46","49","48"
"2017","1","5","54","38","38","0.16","52","47","50","48","50","48"
"2017","1","6","49","33","34","0","49","41","49","44","51","49"
"2017","1","7","46","33","38","0.16","45","40","45","43","50","48"
"2017","1","8","58","38","58","1.74","52","42","50","44","50","48"
"2017","1","9","59","51","51","1.58","56","50","53","48","51","48"
"2017","1","10","57","50","52","0.97","54","50","53","50","52","50"
"2017","1","11","56","49","49","1.73","54","50","53","51","53","50"
"2017","1","12","56","44","45","0.36","54","48","57","49","55","50"
"2017","1","13","50","35","46","0.02","52","44","51","48","53","51"
"2017","1","14","57","34","38","0","49","43","49","45","52","49"
"2017","1","15","53","36","43","0","50","43","49","45","51","49"
"2017","1","16","51","33","35","0","51","44","49","46","53","49"
"2017","1","17","50","33","35","0.01","50","43","49","46","52","49"
"2017","1","18","44","34","43","0.08","46","43","47","45","51","49"
"2017","1","19","50","43","49","1.16","48","44","48","46","51","49"
"2017","1","20","57","45","47","1","51","45","50","46","51","48"
"2017","1","21","53","44","48","0.08","52","46","50","47","51","49"
"2017","1","22","56","44","50","0.95","51","46","51","47","51","49"
"2017","1","23","56","41","42","0.77","52","47","51","48","53","49"
"2017","1","24","53","39","43","0.01","51","46","50","47","51","49"
"2017","1","25","54","32","36","0","50","44","49","47","51","49"
"2017","1","26","54","33","40","0","49","43","49","45","51","49"
"2017","1","27","55","39","41","0","50","44","49","46","50","49"
"2017","1","28","58","34","44","0","50","43","48","45","50","49"
"2017","1","29","58","33","43","0","50","42","48","45","50","49"
"2017","1","30","60","33","37","0","50","43","48","45","50","49"
"2017","1","31","60","34","37","0","51","43","49","45","50","49"
"2017","2","1","56","35","42","0","50","43","49","46","50","49"
"2017","2","2","52","41","50","0.35","48","45","48","47","50","49"
"2017","2","3","62","50","54","1.73","52","46","51","47","50","49"
"2017","2","4","60","50","54","0.34","54","50","53","50","51","49"
"2017","2","5","59","47","51","0.02","55","51","53","52","52","51"
"2017","2","6","59","48","53","0.65","56","50","54","51","53","51"
"2017","2","7","58","53","56","1.28","58","52","57","53","56","52"
"2017","2","8","65","55","58","0.35","61","53","59","54","59","59"
"2017","2","9","63","58","58","0.08","63","55","61","56","58","53"
"2017","2","10","62","54","54","0.42","64","56","63","57","61","54"
"2017","2","11","65","45","51","0","73","53","70","56","66","54"
"2017","2","12","62","45","54","0","57","50","56","53","56","54"
"2017","2","13","65","39","41","0","56","50","55","52","55","54"
"2017","2","14","61","39","44","0","56","50","55","52","56","54"
"2017","2","15","61","39","50","0","56","50","55","52","56","54"
"2017","2","16","60","50","55","0.12","57","52","56","54","56","54"
"2017","2","17","65","50","52","0.22","60","54","58","54","56","54"
"2017","2","18","58","51","54","1.17","56","53","56","54","56","54"
"2017","2","19","60","46","50","0.17","63","52","58","54","60","54"
"2017","2","20","55","47","55","0.8","55","51","55","53","56","54"
"2017","2","21","58","49","52","0.95","60","52","57","54","58","54"
"2017","2","22","60","39","44","0.01","57","50","56","53","56","54"
"2017","2","23","57","34","39","0","57","47","56","51","56","54"
"2017","2","24","54","32","37","0","56","46","54","50","55","53"
"2017","2","25","54","37","47","0","55","45","53","49","55","52"
"2017","2","26","55","32","47","0","55","46","53","48","56","52"
"2017","2","27","58","36","41","0","54","45","53","48","56","52"
"2017","2","28","56","34","41","0","55","46","54","49","54","52"
"2017","3","1","60","37","41","0","57","46","54","49","54","52"
"2017","3","2","63","36","43","0","57","46","54","49","54","52"
"2017","3","3","67","40","44","0","59","48","56","50","54","52"
"2017","3","4","66","43","55","0","60","49","57","51","54","52"
"2017","3","5","63","43","47","0.34","59","51","57","52","55","53"
"2017","3","6","50","39","44","0.06","57","48","56","51","55","54"
"2017","3","7","54","37","43","0.04","53","47","53","50","55","53"
"2017","3","8","58","43","48","0","55","47","54","50","56","53"
"2017","3","9","67","46","52","0","60","49","56","50","55","53"
"2017","3","10","74","51","55","0","63","52","59","53","56","54"
"2017","3","11","74","45","57","0","62","55","59","56","57","55"
"2017","3","12","76","48","63","0","66","54","62","56","57","55"
"2017","3","13","79","46","47","0","68","56","63","57","59","57"
"2017","3","14","77","47","49","0","68","57","64","58","59","57"
"2017","3","15","81","49","54","0","71","58","66","59","60","58"
"2017","3","16","72","51","53","0","67","59","65","61","61","60"
"2017","3","17","74","47","55","0","70","59","65","60","61","60"
"2017","3","18","79","51","57","0","72","60","67","61","62","60"
