YEAR,MONTH,DAY,TMAX,TMAX_NXT,SX32,SN32,SX33,SN33,SX35,SN35
2018,1,1,60,65,47,43,47,45,49,49
2018,1,2,65,61,49,44,48,46,49,49
2018,1,3,61,57,48,45,48,46,50,49
2018,1,4,57,61,49,46,49,47,50,49
2018,1,5,61,63,53,49,52,49,51,50
2018,1,6,63,59,54,51,53,51,52,51
2018,1,7,59,50,54,48,53,50,53,51
2018,1,8,50,52,49,47,50,49,52,51
2018,1,9,52,59,50,48,51,49,52,51
2018,1,10,59,59,53,50,52,50,52,51
2018,1,11,59,58,54,50,53,51,54,52
2018,1,12,58,61,53,50,52,51,54,52
2018,1,13,61,56,52,49,52,50,53,52
2018,1,14,56,53,51,49,51,50,53,52
2018,1,15,53,50,52,50,52,51,54,52
2018,1,16,50,58,53,51,53,51,54,53
2018,1,17,58,54,53,51,53,51,54,52
2018,1,18,54,56,53,51,53,52,54,53
2018,1,19,56,59,54,51,54,52,54,53
2018,1,20,59,58,53,47,53,50,55,52
2018,1,21,58,53,50,45,51,48,54,52
2018,1,22,53,50,48,45,49,47,53,51
2018,1,23,50,60,50,48,50,48,52,51
2018,1,24,60,52,52,47,51,48,53,51
2018,1,25,52,55,50,47,50,49,52,51
2018,1,26,55,52,51,46,51,48,53,51
2018,1,27,52,60,49,46,49,48,53,51
2018,1,28,60,62,52,47,51,48,52,50
2018,1,29,62,59,52,47,51,48,52,51
2018,1,30,59,66,51,47,50,49,52,51
2018,1,31,66,65,52,46,51,48,52,51
2018,2,1,65,68,51,46,51,48,52,51
2018,2,2,68,70,53,48,52,49,52,51
2018,2,3,70,74,54,48,52,49,52,51
2018,2,4,74,73,55,50,54,50,52,51
2018,2,5,73,78,56,51,54,52,53,52
2018,2,6,78,73,57,51,55,52,54,53
2018,2,7,73,73,56,51,54,52,54,53
2018,2,8,73,74,56,51,55,52,54,53
2018,2,9,74,79,56,51,55,52,54,54
2018,2,10,79,70,57,51,55,52,54,53
2018,2,11,70,63,56,50,55,53,54,54
2018,2,12,63,60,53,48,53,51,55,54
2018,2,13,60,64,53,47,52,50,54,53
2018,2,14,64,67,54,48,53,50,53,53
2018,2,15,67,65,54,47,52,49,53,52
2018,2,16,65,65,,53,,52,,53
2018,2,17,65,70,52,46,51,48,52,51
2018,2,18,70,62,54,47,52,48,52,51
2018,2,19,62,52,55,47,53,50,52,51
2018,2,20,52,53,51,44,50,47,53,51
2018,2,21,53,58,49,43,49,46,52,50
2018,2,22,58,57,50,44,49,46,51,50
2018,2,23,57,55,50,44,49,46,50,49
2018,2,24,55,63,48,42,47,45,50,49
2018,2,25,63,64,48,41,47,44,49,48
2018,2,26,64,54,51,44,50,45,50,48
2018,2,27,54,59,51,45,50,48,50,49
2018,2,28,59,59,50,44,49,46,50,50
2018,3,1,59,57,50,43,49,46,50,49
2018,3,2,57,53,51,46,50,48,51,49
2018,3,3,53,53,49,45,49,47,51,50
2018,3,4,53,54,49,44,49,46,51,49
2018,3,5,54,59,51,44,50,46,51,49
2018,3,6,59,66,51,44,49,46,51,49
2018,3,7,66,69,53,45,51,46,50,49
2018,3,8,69,70,55,48,53,49,51,50
2018,3,9,70,70,58,52,55,52,53,51
2018,3,10,70,64,59,52,56,53,53,52
2018,3,11,64,72,57,52,56,53,54,53
2018,3,12,72,74,60,51,57,53,54,53
2018,3,13,74,60,61,54,59,55,56,54
2018,3,14,60,59,59,54,58,55,56,55
2018,3,15,59,52,58,51,57,54,57,55
2018,3,16,52,58,53,50,54,52,56,54
2018,3,17,58,57,55,49,54,51,56,53
2018,3,18,57,58,54,48,53,50,55,53
2018,3,19,58,66,55,48,53,50,55,53
2018,3,20,66,57,57,49,55,50,54,53
2018,3,21,57,67,55,52,54,53,55,54
2018,3,22,67,64,57,53,57,53,55,54
2018,3,23,64,60,62,52,59,55,56,54
2018,3,24,60,57,58,51,57,54,56,55
2018,3,25,57,59,58,50,57,53,56,55
2018,3,26,59,65,59,50,56,52,56,55
2018,3,27,65,75,58,50,56,52,55,55
2018,3,28,75,80,61,52,58,53,56,55
2018,3,29,80,84,65,54,61,55,57,56
2018,3,30,84,83,67,57,63,58,58,57
2018,3,31,83,81,69,59,65,59,60,58
2018,4,1,81,82,71,61,66,61,61,59
2018,4,2,82,76,72,61,67,62,62,60
2018,4,3,76,78,72,61,67,63,62,61
2018,4,4,78,75,72,61,67,62,63,61
2018,4,5,75,67,71,63,68,64,63,62
2018,4,6,67,62,67,61,65,63,63,62
2018,4,7,62,71,63,61,63,61,63,62
2018,4,8,71,59,67,58,64,61,63,61
2018,4,9,59,75,59,58,62,61,62,62
2018,4,10,75,70,67,58,65,60,62,61
2018,4,11,70,63,66,59,65,61,63,62
2018,4,12,63,65,62,55,62,58,63,61
2018,4,13,65,72,64,55,62,57,62,61
2018,4,14,72,79,66,56,64,58,63,60
2018,4,15,79,65,69,58,65,60,62,61
2018,4,16,65,57,68,59,66,61,63,62
2018,4,17,57,65,62,56,62,58,63,62
2018,4,18,65,64,65,55,62,58,62,61
2018,4,19,64,71,63,56,62,59,62,61
2018,4,20,71,82,66,56,63,58,61,61
2018,4,21,82,85,69,58,66,60,62,61
2018,4,22,85,85,72,61,68,62,63,61
2018,4,23,85,86,75,64,70,65,65,63
2018,4,24,86,84,75,66,71,66,65,64
2018,4,25,84,85,76,66,72,67,66,65
2018,4,26,85,75,76,66,72,67,67,66
2018,4,27,75,72,76,65,72,67,67,66
2018,4,28,72,68,75,65,71,66,67,66
2018,4,29,68,68,70,62,69,65,67,66
2018,4,30,68,71,71,62,69,64,67,66
2018,5,1,71,79,71,63,69,64,67,65
2018,5,2,79,79,74,64,71,65,67,65
2018,5,3,79,78,75,65,72,66,67,66
2018,5,4,78,87,76,66,73,67,68,66
2018,5,5,87,81,77,67,73,68,69,67
2018,5,6,81,79,74,66,72,69,69,67
2018,5,7,79,88,75,66,73,68,69,68
2018,5,8,88,89,78,67,75,68,70,68
2018,5,9,89,81,80,70,76,70,70,68
2018,5,10,81,83,80,71,76,71,71,69
2018,5,11,83,83,80,70,76,71,71,70
2018,5,12,83,86,78,70,75,71,71,70
2018,5,13,86,78,79,70,76,71,72,70
2018,5,14,78,75,79,70,76,71,72,70
2018,5,15,75,77,79,70,76,71,72,71
2018,5,16,77,71,79,70,76,71,72,71
2018,5,17,71,81,74,70,73,71,72,71
2018,5,18,81,85,75,70,74,70,74,71
2018,5,19,85,82,,,,,,
2018,5,20,82,75,73,66,72,69,72,70
2018,5,21,75,84,72,66,71,68,72,70
2018,5,22,84,78,73,66,72,68,71,70
2018,5,23,78,73,73,67,72,68,71,70
2018,5,24,73,77,72,66,72,68,71,70
2018,5,25,77,67,73,66,72,68,71,69
2018,5,26,67,76,68,65,69,67,71,69
2018,5,27,76,91,71,65,70,67,70,69
2018,5,28,91,95,74,66,72,67,70,68
2018,5,29,95,100,77,69,75,70,71,69
2018,5,30,100,74,80,71,77,72,73,70
2018,5,31,74,73,76,69,75,71,73,71
2018,6,1,73,88,75,68,73,70,72,71
2018,6,2,88,97,76,68,74,69,72,70
2018,6,3,97,100,78,70,75,71,72,71
2018,6,4,100,94,80,72,78,73,74,72
2018,6,5,94,84,81,73,78,74,74,73
2018,6,6,84,81,82,73,79,74,75,73
2018,6,7,81,83,81,73,79,74,75,73
2018,6,8,83,91,82,72,79,74,75,73
2018,6,9,91,82,83,73,80,74,75,74
2018,6,10,82,83,82,73,80,75,76,74
2018,6,11,83,90,82,73,79,75,76,74
2018,6,12,90,98,83,74,80,75,76,74
2018,6,13,98,98,87,75,83,76,77,75
2018,6,14,98,88,89,77,84,78,78,76
2018,6,15,88,82,89,78,85,79,79,77
2018,6,16,82,84,87,76,83,78,78,77
2018,6,17,84,78,86,75,83,77,78,77
2018,6,18,78,88,85,75,82,76,78,76
2018,6,19,88,92,88,76,83,77,78,76
2018,6,20,92,89,89,78,85,78,79,77
2018,6,21,89,96,89,78,85,79,80,78
2018,6,22,96,103,90,77,85,79,80,78
2018,6,23,103,100,91,79,87,80,81,78
2018,6,24,100,93,92,82,87,82,81,79
2018,6,25,93,85,93,80,88,82,83,80
2018,6,26,85,90,87,79,86,82,84,81
2018,6,27,90,84,89,78,86,81,83,81
2018,6,28,84,87,88,77,85,80,83,81
2018,6,29,87,99,88,77,85,79,82,80
2018,6,30,99,102,89,78,85,77,82,80
2018,7,1,102,96,91,80,87,81,82,81
2018,7,2,96,90,93,81,89,82,83,81
2018,7,3,90,87,92,81,88,82,83,81
2018,7,4,87,77,90,79,87,82,83,81
2018,7,5,77,89,89,78,86,81,83,81
2018,7,6,89,95,90,78,86,80,83,81
2018,7,7,95,96,88,80,85,81,82,81
2018,7,8,96,94,90,80,87,81,82,81
2018,7,9,94,97,91,80,87,81,83,81
2018,7,10,97,96,92,80,88,82,83,81
2018,7,11,96,96,93,82,89,83,84,82
2018,7,12,96,96,93,82,89,83,85,82
2018,7,13,96,98,93,82,89,84,85,83
2018,7,14,98,97,88,81,86,83,84,82
2018,7,15,97,92,92,80,88,82,84,82
2018,7,16,92,98,93,82,89,83,84,82
2018,7,17,98,98,91,80,88,82,84,82
2018,7,18,98,100,92,80,88,82,84,82
2018,7,19,100,97,93,81,89,83,84,82
2018,7,20,97,95,93,80,89,83,85,83
2018,7,21,95,97,87,78,85,81,84,83
2018,7,22,97,95,86,78,85,80,84,82
2018,7,23,95,99,87,79,85,81,84,82
2018,7,24,99,99,88,79,86,81,84,82
2018,7,25,99,104,90,81,87,82,84,83
2018,7,26,104,97,92,82,88,83,84,83
2018,7,27,97,94,92,83,89,84,85,84
2018,7,28,94,98,90,82,88,84,84,84
2018,7,29,98,93,90,82,88,83,84,84
2018,7,30,93,94,89,81,86,83,84,84
2018,7,31,94,95,90,81,87,82,85,83
2018,8,1,95,91,90,81,88,82,85,83
2018,8,2,91,92,90,81,88,83,85,83
2018,8,3,92,94,90,81,88,82,85,83
2018,8,4,94,99,89,80,86,82,85,83
2018,8,5,99,92,90,80,87,82,84,82
2018,8,6,92,94,90,81,87,82,84,83
2018,8,7,94,88,89,81,87,83,84,83
2018,8,8,88,92,88,80,86,82,84,83
2018,8,9,92,99,88,79,86,81,84,82
2018,8,10,99,100,90,80,87,81,84,82
2018,8,11,100,99,90,81,87,82,84,82
2018,8,12,99,95,91,82,88,83,84,82
2018,8,13,95,91,91,82,88,83,85,83
2018,8,14,91,85,90,81,88,83,85,83
2018,8,15,85,86,89,80,87,82,85,83
2018,8,16,86,92,89,80,87,82,85,83
2018,8,17,92,99,89,81,87,82,84,83
2018,8,18,99,101,90,81,88,82,84,82
2018,8,19,101,95,91,81,88,82,84,83
2018,8,20,95,89,90,81,88,83,85,83
2018,8,21,89,78,89,81,87,82,85,83
2018,8,22,78,84,87,79,86,82,85,83
2018,8,23,84,83,87,79,85,81,84,82
2018,8,24,83,84,87,79,85,80,84,82
2018,8,25,84,88,79,78,82,81,83,82
2018,8,26,88,86,86,78,84,79,83,81
2018,8,27,86,81,86,78,84,79,83,81
2018,8,28,81,78,86,78,84,79,82,81
2018,8,29,78,81,86,78,84,79,82,81
2018,8,30,81,80,86,78,84,79,82,81
2018,8,31,80,88,85,77,83,79,82,80
2018,9,1,88,94,,,,,,
2018,9,2,94,95,,,,,,
2018,9,3,95,90,,,,,,
2018,9,4,90,91,,,,,,
2018,9,5,91,88,,,,,,
2018,9,6,88,89,,,,,,
2018,9,7,89,95,,,,,,
2018,9,9,95,95,,,,,,
2018,9,10,95,95,,,,,,
2018,9,11,95,90,,,,,,
2018,9,12,90,77,,,,,,
2018,9,13,77,79,,,,,,
2018,9,14,79,82,,,,,,
2018,9,15,82,81,,,,,,
2018,9,16,81,82,,,,,,
2018,9,17,82,82,,,,,,
2018,9,18,82,84,,,,,,
2018,9,19,84,89,,,,,,
2018,9,20,89,92,,,,,,
2018,9,21,92,95,,,,,,
2018,9,22,95,92,,,,,,
2018,9,23,92,90,,,,,,
2018,9,24,90,92,,,,,,
2018,9,25,92,96,,,,,,
2018,9,26,96,97,,,,,,
2018,9,27,97,98,,,,,,
2018,9,28,98,86,,,,,,
2018,9,29,86,78,,,,,,
2018,9,30,78,80,,,,,,
2018,10,1,80,80,,,,,,
2018,10,2,80,81,,,,,,
2018,10,3,81,83,,,,,,
2018,10,4,83,75,,,,,,
