"YEAR","MONTH","DAY","TMAX","TMAX_NXT","SX32","SN32","SX33","SN33","SX35","SN35"
"2017","1","1","56","49","48","43","48","45","49","47"
"2017","1","2","49","51","47","44","47","45","49","48"
"2017","1","3","51","51","47","43","47","45","49","48"
"2017","1","4","51","54","49","45","48","46","49","48"
"2017","1","5","54","49","52","47","50","48","50","48"
"2017","1","6","49","46","49","41","49","44","51","49"
"2017","1","7","46","58","45","40","45","43","50","48"
"2017","1","8","58","59","52","42","50","44","50","48"
"2017","1","9","59","57","56","50","53","48","51","48"
"2017","1","10","57","56","54","50","53","50","52","50"
"2017","1","11","56","56","54","50","53","51","53","50"
"2017","1","12","56","50","54","48","57","49","55","50"
"2017","1","13","50","57","52","44","51","48","53","51"
"2017","1","14","57","53","49","43","49","45","52","49"
"2017","1","15","53","51","50","43","49","45","51","49"
"2017","1","16","51","50","51","44","49","46","53","49"
"2017","1","17","50","44","50","43","49","46","52","49"
"2017","1","18","44","50","46","43","47","45","51","49"
"2017","1","19","50","57","48","44","48","46","51","49"
"2017","1","20","57","53","51","45","50","46","51","48"
"2017","1","21","53","56","52","46","50","47","51","49"
"2017","1","22","56","56","51","46","51","47","51","49"
"2017","1","23","56","53","52","47","51","48","53","49"
"2017","1","24","53","54","51","46","50","47","51","49"
"2017","1","25","54","54","50","44","49","47","51","49"
"2017","1","26","54","55","49","43","49","45","51","49"
"2017","1","27","55","58","50","44","49","46","50","49"
"2017","1","28","58","58","50","43","48","45","50","49"
"2017","1","29","58","60","50","42","48","45","50","49"
"2017","1","30","60","60","50","43","48","45","50","49"
"2017","1","31","60","56","51","43","49","45","50","49"
"2017","2","1","56","52","50","43","49","46","50","49"
"2017","2","2","52","62","48","45","48","47","50","49"
"2017","2","3","62","60","52","46","51","47","50","49"
"2017","2","4","60","59","54","50","53","50","51","49"
"2017","2","5","59","59","55","51","53","52","52","51"
"2017","2","6","59","58","56","50","54","51","53","51"
"2017","2","7","58","65","58","52","57","53","56","52"
"2017","2","8","65","63","61","53","59","54","59","59"
"2017","2","9","63","62","63","55","61","56","58","53"
"2017","2","10","62","65","64","56","63","57","61","54"
"2017","2","11","65","62","73","53","70","56","66","54"
"2017","2","12","62","65","57","50","56","53","56","54"
"2017","2","13","65","61","56","50","55","52","55","54"
"2017","2","14","61","61","56","50","55","52","56","54"
"2017","2","15","61","60","56","50","55","52","56","54"
"2017","2","16","60","65","57","52","56","54","56","54"
"2017","2","17","65","58","60","54","58","54","56","54"
"2017","2","18","58","60","56","53","56","54","56","54"
"2017","2","19","60","55","63","52","58","54","60","54"
"2017","2","20","55","58","55","51","55","53","56","54"
